link,names,skills,salary,experience,name
https://hh.ru/vacancy/49959588?from=vacancy_search_list&query=data%20analyst,0,"['Jira', 'Analysis', 'Fluent English', 'SQL', 'Business Analysis', 'System Analysis']",от 150 000 руб. на руки,1–3 года,Retail System Analyst
https://hh.ru/vacancy/50488511?from=vacancy_search_list&query=data%20analyst,0,"['Английский\xa0— C1 — Продвинутый', 'Английский язык', 'Management Reporting', 'MS PowerPoint', 'SQL', 'visualization']",от 4 000 EUR на руки,3–6 лет,Business Analyst
https://hh.ru/vacancy/50660304?from=vacancy_search_list&query=data%20analyst,0,"['Деловая коммуникация', 'Нейронные сети', 'Data Science', 'Машинное обучение', 'Statistics']",до 200 000 руб. на руки,1–3 года,ML/Data Science Team Lead
https://hh.ru/vacancy/49504446?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'MS PowerPoint', 'MS SQL', 'SQL', 'Работа с базами данных']",до 40 000 руб. на руки,не требуется,Младший аналитик данных (junior data analyst)
https://hh.ru/vacancy/50195310?from=vacancy_search_list&query=data%20analyst,0,"['Аналитическое мышление', 'Анализ данных', 'Аналитические исследования', 'Маркетинговые исследования', 'Аналитика', 'Маркетинговый анализ']",до 90 000 руб. на руки,1–3 года,Аналитик
https://hh.ru/vacancy/49767446?from=vacancy_search_list&query=data%20analyst,0,"['Поиск и привлечение клиентов', 'Работа в команде', 'Управление отношениями с клиентами', 'Активные продажи', 'Развитие продаж']",от 250 000 до 700 000 руб. на руки,3–6 лет,Performance director
https://hh.ru/vacancy/50492864?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'SQL', 'Data Mining', 'Аналитическое мышление', 'BI']",до 120 000 руб. до вычета налогов,1–3 года,Аналитик данных
https://hh.ru/vacancy/50411416?from=vacancy_search_list&query=data%20analyst,0,"['Tableau', 'SQL', 'Анализ данных', 'Power BI', 'Data Analysis']",от 160 000 руб. до вычета налогов,1–3 года,Продуктовый аналитик
https://hh.ru/vacancy/42011548?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'Data Mining', 'SQL', 'Machine Learning', 'Data Analysis', 'A/B тесты', 'Spark']",до 350 000 руб. до вычета налогов,3–6 лет,Data Scientist
https://hh.ru/vacancy/49370582?from=vacancy_search_list&query=data%20analyst,0,"['Google Analytics', 'Яндекс.Метрика', 'Анализ данных', 'Google Data Studio', 'Аналитическое мышление', 'WEB аналитика', 'Веб-аналитика', 'Организаторские навыки']",от 50 000 до 150 000 руб. на руки,1–3 года,Веб-аналитик/Web-аналитик
https://hh.ru/vacancy/50460586?from=vacancy_search_list&query=data%20analyst,0,"['Английский\xa0— B2 — Средне-продвинутый', 'C#', '.NET Framework', 'REST', 'MS Access', 'API']",от 3 300 до 4 000 USD до вычета налогов,1–3 года,Backend Developer C# (Remote)
https://hh.ru/vacancy/49993197?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'Data Mining', 'Прогнозирование', 'прогнозирование спроса', 'S&OP', 'ML', 'supply chain', 'Numpy Pandas']",от 270 000 руб. на руки,1–3 года,Senior data scientist
https://hh.ru/vacancy/50401271?from=vacancy_search_list&query=data%20analyst,0,"['Английский\xa0— B1 — Средний', 'SQL', 'Data Transfomrations', 'Google BigQuery', 'Data Analysis', 'Dashboards', 'Анализ данных', 'Визуализация данных', 'Power BI', 'Data Studio']",от 180 000 до 250 000 руб. на руки,1–3 года,BI - аналитик
https://hh.ru/vacancy/50401452?from=vacancy_search_list&query=data%20analyst,0,"['Английский\xa0— C1 — Продвинутый', 'SQL', 'Data Transfomrations', 'Google BigQuery', 'Data Analysis', 'Dashboards', 'Анализ данных', 'Визуализация данных', 'Data Studio']",от 180 000 до 250 000 руб. на руки,1–3 года,Marketing Analyst
https://hh.ru/vacancy/48060750?from=vacancy_search_list&query=data%20analyst,0,[],от 200 000 руб. на руки,0,Senior Data Analyst
https://hh.ru/vacancy/49877839?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'Tableau', 'SQL', 'Аналитическое мышление', 'Olap (online analytical processing)']",от 160 000 до 200 000 руб. до вычета налогов,1–3 года,Ведущий аналитик данных
https://hh.ru/vacancy/50231574?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'SQL', 'Tableau', 'VBA', 'Английский язык']",от 125 000 до 135 000 руб. до вычета налогов,1–3 года,Business Analyst
https://hh.ru/vacancy/50382645?from=vacancy_search_list&query=data%20analyst,0,['Английский\xa0— C1 — Продвинутый'],от 2 000 USD на руки,1–3 года,Product analyst
https://hh.ru/vacancy/50347066?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'SQL', 'Аналитические исследования', 'Анализ данных', 'Аналитическое мышление', 'PostgreSQL', 'Data Analysis']",до 300 000 руб. до вычета налогов,не требуется,Продуктовый аналитик
https://hh.ru/vacancy/50459381?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'SQL', 'Анализ данных', 'Amplitude', 'Анализ бизнес показателей', 'Data Analysis', 'Аналитика']",от 180 000 до 230 000 руб. до вычета налогов,3–6 лет,"Аналитик данных (реклама, продукт)"
https://hh.ru/vacancy/50332455?from=vacancy_search_list&query=data%20analyst,0,"['Английский\xa0— C1 — Продвинутый', 'Python', 'SQL', 'Power BI', 'Leadership Skills', 'Team management']",до 6 000 USD до вычета налогов,1–3 года,Analyst (remote)
https://hh.ru/vacancy/42956307?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'Data Mining', 'SQL', 'Математическое моделирование', 'Spark', 'Pandas', 'Hive']",до 500 000 руб. до вычета налогов,3–6 лет,Data Scientist (middle or senior)
https://hh.ru/vacancy/50531670?from=vacancy_search_list&query=data%20analyst,0,"['SQL', 'Английский язык', 'Analytical skills', 'MS PowerPoint', 'MS Access']",от 1 500 EUR до вычета налогов,не требуется,Sales Administration Business Analyst
https://hh.ru/vacancy/48651351?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'Big Data', 'Анализ данных', 'Machine Learning']",от 150 000 до 300 000 руб. до вычета налогов,1–3 года,Data Scientist (omnichannel)
https://hh.ru/vacancy/50274803?from=vacancy_search_list&query=data%20analyst,0,"['SQL', 'Python', 'Анализ данных', 'Data Analysis', 'Big Data']",от 170 000 руб. до вычета налогов,1–3 года,Аналитик продукта / Product Analyst
https://hh.ru/vacancy/50279838?from=vacancy_search_list&query=data%20analyst,0,"['Английский\xa0— B2 — Средне-продвинутый', 'AngularJS', 'Angular', 'MVC']",от 3 500 до 4 000 USD до вычета налогов,1–3 года,Angular Frontend Developer (Remote)
https://hh.ru/vacancy/50233826?from=vacancy_search_list&query=data%20analyst,0,"['SQL', 'Google Analytics', 'Английский язык', 'Tableau', 'ORACLE']",от 200 000 руб. на руки,1–3 года,Продуктовый аналитик/аналитик данных
https://hh.ru/vacancy/49991403?from=vacancy_search_list&query=data%20analyst,0,"['SQL', 'Python', 'Spark', 'Pandas', 'Hadoop']",от 350 000 до 500 000 руб. до вычета налогов,3–6 лет,Data Engineer (Senior)
https://hh.ru/vacancy/50514502?from=vacancy_search_list&query=data%20analyst,0,"['Анализ рынка', 'Data Mining', 'A/B тесты', 'Анализ поведения пользователей']",от 90 000 до 150 000 руб. на руки,1–3 года,Аналитик
https://hh.ru/vacancy/50236949?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'Английский язык', 'Анализ данных', 'MS PowerPoint', 'Power BI']",до 100 000 руб. до вычета налогов,1–3 года,Junior Data Scientist
https://hh.ru/vacancy/49423067?from=vacancy_search_list&query=data%20analyst,0,"['аналитика', 'SQL', 'Python', 'Информационные технологии', 'Работа с базами данных', 'Математический анализ', 'NumPy', 'Математическая статистика', 'XGBoost']",до 300 000 руб. на руки,3–6 лет,Data Scientist
https://hh.ru/vacancy/42493107?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'Hadoop', 'Spark', 'Git', 'Тестирование', 'Product Promotion', 'Leadership Skills']",до 500 000 руб. до вычета налогов,3–6 лет,Lead Data Scientist
