link,names,skills,salary,experience,name
https://hh.ru/vacancy/44474485?from=vacancy_search_list&query=data%20engineer,0,"['Hadoop', 'SQL', 'ORACLE', 'SCALA', 'Bash']",от 300 000 руб. до вычета налогов,1–3 года,Bigdata Engineer
https://hh.ru/vacancy/44474485?from=vacancy_search_list&query=data%20engineer,0,"['Hadoop', 'SQL', 'ORACLE', 'SCALA', 'Bash']",от 300 000 руб. до вычета налогов,1–3 года,Bigdata Engineer
https://hh.ru/vacancy/49919913?from=vacancy_search_list&query=data%20engineer,0,"['Английский\xa0— B1 — Средний', 'Python', 'SQL', 'Git', 'Automation testing', 'Manual testing', 'DevOps', 'Microservices', 'Docker', 'PostgreSQL', 'Kubernetes', 'Gitlab CI', 'CI/CD', 'AWS', 'TeamCity', 'Нагрузочное тестирование', 'Регресcионное тестирование', 'Автотестирование', 'Yandex.Tank', 'JMeter', 'Kibana', 'Grafana', 'Prometheus', 'Allure Test Report']",от 3 000 EUR на руки,3–6 лет,Senior QA Engineer (Python)
https://hh.ru/vacancy/49919913?from=vacancy_search_list&query=data%20engineer,0,"['Английский\xa0— B1 — Средний', 'Python', 'SQL', 'Git', 'Automation testing', 'Manual testing', 'DevOps', 'Microservices', 'Docker', 'PostgreSQL', 'Kubernetes', 'Gitlab CI', 'CI/CD', 'AWS', 'TeamCity', 'Нагрузочное тестирование', 'Регресcионное тестирование', 'Автотестирование', 'Yandex.Tank', 'JMeter', 'Kibana', 'Grafana', 'Prometheus', 'Allure Test Report']",от 3 000 EUR на руки,3–6 лет,Senior QA Engineer (Python)
https://hh.ru/vacancy/49546524?from=vacancy_search_list&query=data%20engineer,0,"['MPI', 'Kafka']",до 5 000 USD на руки,3–6 лет,Data Engineer
https://hh.ru/vacancy/49546524?from=vacancy_search_list&query=data%20engineer,0,"['MPI', 'Kafka']",до 5 000 USD на руки,3–6 лет,Data Engineer
https://hh.ru/vacancy/50544111?from=vacancy_search_list&query=data%20engineer,0,"['Git', 'Python', 'Java', 'Английский язык', 'Jenkins', 'C#', 'NUnit', 'SVN', 'Grafana', 'Kibana']",от 2 000 до 4 000 USD на руки,1–3 года,Automation QA Engineer
https://hh.ru/vacancy/50544111?from=vacancy_search_list&query=data%20engineer,0,"['Git', 'Python', 'Java', 'Английский язык', 'Jenkins', 'C#', 'NUnit', 'SVN', 'Grafana', 'Kibana']",от 2 000 до 4 000 USD на руки,1–3 года,Automation QA Engineer
https://hh.ru/vacancy/50303237?from=vacancy_search_list&query=data%20engineer,0,"['Python', 'SQL', 'Работа с большим объемом информации', 'Алгоритмы', 'Анализ данных', 'C++']",до 600 000 руб. на руки,3–6 лет,Разработчик-аналитик (Data Engineer)
https://hh.ru/vacancy/50303237?from=vacancy_search_list&query=data%20engineer,0,"['Python', 'SQL', 'Работа с большим объемом информации', 'Алгоритмы', 'Анализ данных', 'C++']",до 600 000 руб. на руки,3–6 лет,Разработчик-аналитик (Data Engineer)
https://hh.ru/vacancy/48652402?from=vacancy_search_list&query=data%20engineer,0,"['Python', 'SQL', 'ETL', 'DWH', 'СУБД']",до 450 000 руб. до вычета налогов,1–3 года,"Data Engineer (DWH, Senior)"
https://hh.ru/vacancy/48652402?from=vacancy_search_list&query=data%20engineer,0,"['Python', 'SQL', 'ETL', 'DWH', 'СУБД']",до 450 000 руб. до вычета налогов,1–3 года,"Data Engineer (DWH, Senior)"
https://hh.ru/vacancy/42956307?from=vacancy_search_list&query=data%20engineer,0,"['Python', 'Data Mining', 'SQL', 'Математическое моделирование', 'Spark', 'Pandas', 'Hive']",до 500 000 руб. до вычета налогов,3–6 лет,Data Scientist (middle or senior)
https://hh.ru/vacancy/42956307?from=vacancy_search_list&query=data%20engineer,0,"['Python', 'Data Mining', 'SQL', 'Математическое моделирование', 'Spark', 'Pandas', 'Hive']",до 500 000 руб. до вычета налогов,3–6 лет,Data Scientist (middle or senior)
https://hh.ru/vacancy/50408102?from=vacancy_search_list&query=data%20engineer,0,"['Python', 'Git', 'SQL', 'Linux', 'Atlassian Jira', 'AngularJS', 'Docker', 'Функциональное тестирование', 'JavaScript', 'Тестирование', 'Bash']",от 180 000 руб. на руки,1–3 года,QA data-engineer
https://hh.ru/vacancy/50408102?from=vacancy_search_list&query=data%20engineer,0,"['Python', 'Git', 'SQL', 'Linux', 'Atlassian Jira', 'AngularJS', 'Docker', 'Функциональное тестирование', 'JavaScript', 'Тестирование', 'Bash']",от 180 000 руб. на руки,1–3 года,QA data-engineer
https://hh.ru/vacancy/49991403?from=vacancy_search_list&query=data%20engineer,0,"['SQL', 'Python', 'Spark', 'Pandas', 'Hadoop']",от 350 000 до 500 000 руб. до вычета налогов,3–6 лет,Data Engineer (Senior)
https://hh.ru/vacancy/49991403?from=vacancy_search_list&query=data%20engineer,0,"['SQL', 'Python', 'Spark', 'Pandas', 'Hadoop']",от 350 000 до 500 000 руб. до вычета налогов,3–6 лет,Data Engineer (Senior)
https://hh.ru/vacancy/42493119?from=vacancy_search_list&query=data%20engineer,0,"['SQL', 'Python', 'Spark', 'Pandas', 'Hadoop']",от 170 000 до 350 000 руб. до вычета налогов,1–3 года,Data Engineer (Middle)
https://hh.ru/vacancy/42493119?from=vacancy_search_list&query=data%20engineer,0,"['SQL', 'Python', 'Spark', 'Pandas', 'Hadoop']",от 170 000 до 350 000 руб. до вычета налогов,1–3 года,Data Engineer (Middle)
https://hh.ru/vacancy/48651351?from=vacancy_search_list&query=data%20engineer,0,"['Python', 'Big Data', 'Анализ данных', 'Machine Learning']",от 150 000 до 300 000 руб. до вычета налогов,1–3 года,Data Scientist (omnichannel)
https://hh.ru/vacancy/48651351?from=vacancy_search_list&query=data%20engineer,0,"['Python', 'Big Data', 'Анализ данных', 'Machine Learning']",от 150 000 до 300 000 руб. до вычета налогов,1–3 года,Data Scientist (omnichannel)
https://hh.ru/vacancy/50272121?from=vacancy_search_list&query=data%20engineer,0,"['Английский\xa0— B2 — Средне-продвинутый', 'Python', 'Английский язык', 'SQL', 'Работа с базами данных']",от 150 000 до 200 000 руб. на руки,3–6 лет,Data Engineer
https://hh.ru/vacancy/50272121?from=vacancy_search_list&query=data%20engineer,0,"['Английский\xa0— B2 — Средне-продвинутый', 'Python', 'Английский язык', 'SQL', 'Работа с базами данных']",от 150 000 до 200 000 руб. на руки,3–6 лет,Data Engineer
https://hh.ru/vacancy/50339446?from=vacancy_search_list&query=data%20engineer,0,"['Английский\xa0— B2 — Средне-продвинутый', 'Java', 'SCALA', 'Graph DB', 'Big Data', 'SQL', 'NoSQL', 'Neo4j', 'SPARQL', 'Gremlin', 'TinkerPop', 'Pregel', 'Cypher', 'AWS Neptune', 'Kafka', 'Spark', 'Hadoop', 'Kinesis', 'AWS', 'ActiveMQ', 'RabbitMQ', 'AWS SQS', 'Okta', 'AWS Cognito', 'Python', 'MongoDB', 'DynamoDB', 'EMR']",от 5 200 до 7 000 USD до вычета налогов,3–6 лет,Middle Spark Data Engineer (remote)
