link,names,skills,salary,experience,name
https://hh.ru/vacancy/40551245?from=vacancy_search_list&query=data%20science,0,"['Python', 'SQL', 'ETL', 'Docker', 'Podman', 'Data Engineering', 'XPath', 'XML', 'Flask']",от 100 000 до 160 000 руб. до вычета налогов,3–6 лет,Разработчик (Python)
https://hh.ru/vacancy/50598616?from=vacancy_search_list&query=data%20science,0,[],от 300 000 руб. на руки,3–6 лет,Tech Lead команда речевой аналитики (MTS AI)
https://hh.ru/vacancy/49694172?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— B1 — Средний', 'Английский язык', 'Unreal Engine', 'SDK development', 'AI programming', 'Unity', 'NPC', 'VR']",от 350 000 руб. на руки,3–6 лет,Senior C++ Unreal Engine Developer (Remote)
https://hh.ru/vacancy/43146453?from=vacancy_search_list&query=data%20science,0,"['Экономическая теория', 'Эконометрика', 'Stata', 'EViews', 'MATLAB', 'Математическая статистика', 'Экономический анализ', 'Английский язык', 'Python', 'R', 'Статистический анализ']",от 60 000 до 120 000 руб. до вычета налогов,не требуется,Исследователь-экономист (research analyst in economics)
https://hh.ru/vacancy/50157912?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— C1 — Продвинутый', 'JavaScript', 'SQL', 'Node.js', 'Databases']",от 3 000 до 6 000 USD до вычета налогов,более 6 лет,Senior Fullstack Engineer for a US Company
https://hh.ru/vacancy/50424000?from=vacancy_search_list&query=data%20science,0,"['JavaScript', 'Node.js', 'CSS', 'HTML', 'HTML5']",от 6 500 до 7 000 USD до вычета налогов,не требуется,Senior React developer
https://hh.ru/vacancy/49694170?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— B1 — Средний', 'Unity', 'Английский язык', 'C#', 'SDK development', 'Unreal', 'AR/VR', 'AI programming']",от 350 000 руб. на руки,3–6 лет,Senior Unity Developer (Remote)
https://hh.ru/vacancy/50233836?from=vacancy_search_list&query=data%20science,0,"['Python', 'Git', 'Linux', 'Flask', 'MongoDB']",от 200 000 до 280 000 руб. на руки,3–6 лет,Программист Python (Middle/Senior)
https://hh.ru/vacancy/39890802?from=vacancy_search_list&query=data%20science,0,"['Jenkins', 'Python', 'Bash']",от 5 000 USD на руки,3–6 лет,CI Engineer
https://hh.ru/vacancy/49946981?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— B2 — Средне-продвинутый', 'Project management', 'Agile Project Management']",от 500 000 до 600 000 руб. до вычета налогов,более 6 лет,Head of project office
https://hh.ru/vacancy/50039595?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— B2 — Средне-продвинутый', 'Python', 'Docker', 'Django Framework', 'SQL', 'Scrum', 'Node.js', 'Agile', 'JavaScript']",от 3 000 до 4 000 USD до вычета налогов,1–3 года,Backend Developer
https://hh.ru/vacancy/49233233?from=vacancy_search_list&query=data%20science,0,[],от 170 000 до 190 000 руб. до вычета налогов,3–6 лет,Backend-программист (Python) в РГБ
