link,names,skills,salary,experience,name
https://hh.ru/vacancy/50077086?from=vacancy_search_list&query=it,0,"['Agile Project Management', 'Работа в команде', 'Управление проектами', 'Scrum', 'Kanban']",от 250 000 руб. до вычета налогов,3–6 лет,Руководитель IT-проектов
https://hh.ru/vacancy/50024086?from=vacancy_search_list&query=it,0,"['Администрирование сетевого оборудования', 'Linux', 'Администрирование', 'Грамотность', 'Cистемы управления базами данных', 'Администрирование серверов Linux', 'База данных: Oracle', 'SQL']",от 90 000 до 120 000 руб. на руки,3–6 лет,Системный администратор в компанию разработки ПО
https://hh.ru/vacancy/49519390?from=vacancy_search_list&query=it,0,"['Сборка ПК', 'Настройка ПК', 'Информационная безопасность', 'Ремонт ПК', 'Настройка ПО', 'Настройка сетевых подключений', 'Работа с оргтехникой', 'Информационные технологии']",от 100 000 до 100 000 руб. на руки,3–6 лет,Специалист по IT
https://hh.ru/vacancy/49916939?from=vacancy_search_list&query=it,0,['Знание компьютера'],от 45 000 руб. на руки,не требуется,Специалист по IT
https://hh.ru/vacancy/50084251?from=vacancy_search_list&query=it,0,"['Мобильность', 'Многозадачность', 'SaaS', 'Удаленная работа']",от 130 000 до 180 000 руб. на руки,1–3 года,Middle System Administrator
https://hh.ru/vacancy/50177721?from=vacancy_search_list&query=it,0,"['Рекрутмент', 'Обучение и развитие', 'Работа в команде']",от 150 000 руб. до вычета налогов,1–3 года,Рекрутер в сфере IT
https://hh.ru/vacancy/49706765?from=vacancy_search_list&query=it,0,"['Управление проектами', 'ARIS', '1С-Битрикс', 'Управление персоналом', 'Битрикс 24', 'EPC', 'BPMN']",от 130 000 руб. на руки,1–3 года,Менеджер IT-проектов
https://hh.ru/vacancy/50235035?from=vacancy_search_list&query=it,0,"['PostgreSQL', 'Linux', 'Bash', 'SQL', 'Docker']",от 100 000 руб. на руки,1–3 года,DevOps Junior (IT администратор)
https://hh.ru/vacancy/50080387?from=vacancy_search_list&query=it,0,"['Active Directory', 'DHCP', 'Windows 7', 'Техническая поддержка', 'Настройка DNS', 'Администрирование серверов', 'Windows 8', 'MS Office', 'servicedesk', 'MS Exchange', 'Ms Exchange Server', 'CommuniGate', 'Банк-клиент', 'Логическое мышление', 'Настройка почтовых серверов', 'Администрирование серверов Windows', 'Администрирование', 'Microsoft', 'OpenOffice']",от 80 000 до 90 000 руб. на руки,3–6 лет,Специалист по IT
https://hh.ru/vacancy/49715791?from=vacancy_search_list&query=it,0,"['API', 'Управление командой', 'Постановка задач разработчикам', 'Управление проектами']",до 180 000 руб. на руки,1–3 года,Менеджер IT-проектов
https://hh.ru/vacancy/49585266?from=vacancy_search_list&query=it,0,"['Английский\xa0— B2 — Средне-продвинутый', 'Грамотная речь', 'Деловая коммуникация', 'Ведение переговоров', 'Английский язык']",от 140 000 до 150 000 руб. на руки,3–6 лет,Менеджер IT проектов
