link,names,skills,salary,experience,name
https://hh.ru/vacancy/49062823?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,"['1С программирование', '1С: Зарплата и управление персоналом', '1С: Управление Производственным Предприятием', 'WMS', 'Базы данных', 'Обновление конфигурации 1С', 'Автоматизация', '1С: Предприятие 8', 'Создание конфигурации 1С']",от 150 000 до 200 000 руб. на руки,не требуется,Программист 1C
https://hh.ru/vacancy/49717037?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,"['1С-Битрикс', 'PHP', 'HTML', 'JavaScript', 'MySQL', 'PHP5', 'CSS3', 'CSS', 'HTML5', 'Битрикс24', 'Битрикс 24']",от 120 000 до 160 000 руб. на руки,3–6 лет,PHP-программист
https://hh.ru/vacancy/50216986?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,"['1С программирование', 'ERP-системы на базе 1С', 'Обновление конфигурации 1С', 'Работа с базами данных', 'Работа в команде', 'Создание конфигурации 1С', '1C: Предприятие', '1С: Управление предприятием', 'Линейное программирование', '1С: Предприятие 8', '1C ERP', '1C: Бухгалтерия', '1С: Документооборот', '1С8']",от 120 000 до 200 000 руб. на руки,3–6 лет,Программист 1C8
https://hh.ru/vacancy/49756303?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,"['1С-Битрикс', 'd7', 'API Bitrix', 'PHP', 'ООП', 'MySQL', 'Git', 'CSS', 'JS', 'jQuery']",от 120 000 до 140 000 руб. на руки,3–6 лет,Web-программист
https://hh.ru/vacancy/49822304?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,"['ABL', 'Application Server', 'PASOE', 'GUI', '.NET', 'Progress']",от 100 000 до 150 000 руб. до вычета налогов,1–3 года,Программист
https://hh.ru/vacancy/50092031?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,"['jQuery', 'CSS3', 'HTML5', 'HTML', 'Веб-программирование', 'SQL', 'PHP', 'JavaScript', 'MVC', 'Ajax']",от 100 000 до 135 000 руб. на руки,1–3 года,Программист
https://hh.ru/vacancy/48397757?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,"['1C: Бухгалтерия', '1С: Предприятие 8', '1С программирование', '1С: Управление Торговлей', 'Бухгалтерский учет', 'Налоговая отчетность', 'Бухгалтерская отчетность', 'Разработка ПО']",от 160 000 руб. на руки,3–6 лет,1 С Программист
https://hh.ru/vacancy/50081997?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,"['Java', 'JavaCore', 'REST', 'Git', 'SQL', 'PostgreSQL', 'HTML', 'MS SQL', 'JDBC', 'Apache Maven', 'JUnit']",до 170 000 руб. на руки,1–3 года,Программист Java
https://hh.ru/vacancy/35268686?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,[],до 200 000 руб. на руки,3–6 лет,Программист 1С (дистанционный отдел)
https://hh.ru/vacancy/49954504?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,[],от 100 000 до 250 000 руб. до вычета налогов,3–6 лет,Программист 1С
https://hh.ru/vacancy/50066587?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,"['XML', 'Управленческая отчетность', '1С программирование', '1С: Управление Производственным Предприятием', '1С: Зарплата и управление персоналом', 'WMS', 'Разработка ПО', 'Разработка CMS', 'Складская логистика', 'Складское ПО', 'Web', 'ЭДО', 'Основы программирования']",от 150 000 руб. на руки,не требуется,Программист WMS
https://hh.ru/vacancy/50126461?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,"['MySQL', 'PHP', 'Инвестиции', 'Планирование карьеры', 'Инвестиционная деятельность', 'Удаленная работа', 'Работа в команде']",от 150 000 до 200 000 руб. на руки,1–3 года,PHP-программист
https://hh.ru/vacancy/49464219?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,0,"['Git', 'Linux', 'MySQL', 'Python', 'Qt']",от 100 000 руб. до вычета налогов,1–3 года,Программист-разработчик
