link,name,gender,age,path1,path2,skills,languages,salary,experience,edu_degree,uni
https://hh.ru/resume/364841940009008f290039ed1f67414449326f?query=data+scientist&hhtmFrom=resumes_catalog&source=search,Data Scientist ,Мужчина,25 лет,"Банки, инвестиции, лизинг",['Аналитик'],"['Python', 'Git', 'pandas', 'NumPy', 'matplotlib', 'seaborn', 'Scikit-learn', 'Jupiter', 'Google Colab', 'Apache Spark', 'SQL']","['Русский — Родной', 'Английский — B1 — Средний', 'Немецкий — A2 — Элементарный']",0,Опыт работы 6 месяцев,Высшее образование (Бакалавр),"['Российский университет кооперации, МытищиЭкономика, Экономика']"
https://hh.ru/resume/d8d190b100091d8e5e0039ed1f54306b753278?query=data+scientist&hhtmFrom=resumes_catalog&source=search,Data Scientist,Мужчина,19 лет,"Информационные технологии, интернет, телеком","['Программирование, Разработка']","['Python', 'Английский язык', 'Работа в команде', 'Data Analysis', 'Big Data', 'Data Mining', 'Analytical skills', 'Linux', 'Scikit-learn', 'Tensorflow', 'Computer Vision', 'Object Detection', 'Image classification', 'yolov5', 'MySQL', 'Numpy', 'Pandas', 'matplotlib', 'Machine Learning', 'Математическая статистика', 'scipy', 'Java', 'ООП', 'seaborn', 'Flask', 'pytorch', 'AWS', 'Yandex Cloud', 'Google Cloud', 'Data Science']","['Русский — Родной', 'Английский — B1 — Средний']",0,Опыт работы 1 месяц,Высшее образование,"['Московский политехнический университет, МоскваФакультет информационных технологий, Прикладная математика и информатика (Большие и открытые данные)']"
https://hh.ru/resume/bc0daa230008d57a270039ed1f39776c6e5565?query=data+scientist&hhtmFrom=resumes_catalog&source=search,Data Scientist,Мужчина,0,0,0,"['ABC-анализ', 'A/B тесты', 'Python', 'PostgreSQL', 'Анализ данных', 'Математическое моделирование', 'Статистический анализ', 'Data Analysis', 'Визуализация', 'построение предиктивных моделей', 'машинное обучение', 'нейронные сети', 'Machine learning', 'Визуализация данных', 'Big Data']",0,0,Опыт работы 5 лет 4 месяца,0,0
https://hh.ru/resume/d09c11760006414a520039ed1f57307547756c?query=data+scientist&hhtmFrom=resumes_catalog&source=search,Data scientist,Мужчина,32 года,"Начало карьеры, студенты","['Информационные технологии, Интернет, Мультимедиа', 'Финансы, Банки, Инвестиции']","['Python', 'MySQL', 'Английский язык', 'pre-intermediate', 'Git', 'Pandas', 'Numpy', 'Matplotlib', 'sklearn', 'scikit-learn', 'xgboost', 'catboost', 'Keras', 'Tensorflow']","['Русский — Родной', 'Английский — A1 — Начальный']",0,Опыт работы 5 лет 7 месяцев,Среднее специальное образование,"['Geekbrains (2+ года)Искусственный интелект, Data Scientist', 'Московская финансово-промышленная академия «Синергия», МоскваМенеджмент туризма, Менеджер']"
https://hh.ru/resume/b9764c0b00077b55860039ed1f426a736d7239?query=data+scientist&hhtmFrom=resumes_catalog&source=search,Data scientist,Мужчина,42 года,"Информационные технологии, интернет, телеком","['Программирование, Разработка', 'Аналитик']","['Data Analysis', 'Python', 'SolidWorks', 'SQL', 'MATLAB', 'Git', 'PostgreSQL', 'MongoDB']","['Русский — Родной', 'Английский — B2 — Средне-продвинутый', 'Немецкий — A1 — Начальный']",150 000 руб.,Опыт работы 20 лет 7 месяцев,Высшее образование,"['Национальный исследовательский ядерный университет ""МИФИ"", МоскваАспирантура', 'Национальный исследовательский ядерный университет ""МИФИ"", МоскваЕ- Высший Физический Колледж, Физика твёрдого тела, взаимодействие лазерного излучения с веществом ']"
https://hh.ru/resume/757155cd00086277590039ed1f4d7a4c523431?query=data+scientist&hhtmFrom=resumes_catalog&source=search,Data Science,Male,31 year,"IT, Internet, Telecom",['Other'],"['C/C++', 'Python', 'numpy', 'pandas', 'PHP', 'Git', 'docker', 'CSS', 'HTML', 'MySQL', 'virtualbox', 'Bash', 'Unix', 'Django', 'PostgreSQL', 'Greenplum', 'Bibucket', 'Torch', 'Hadoop', 'Spark', 'Dvc', 'Hive', 'Tensorflow', 'Pytorch', 'sgd', 'Hyperopt', 'Optuna', 'hue']","['Russian — Native', 'English — B2 — Upper Intermediate']",4 100 USD,Work experience 4 years 6 months,Higher education (master),"['School 21IT, Programming', 'St. Petersburg State University, Saint PetersburgApplied Economy, Government manager', 'Peking University, BeijingSchool of Management Guanghua, Corporate finance & Risk management', 'St. Peterburg State UniversityChemistry, Hard chemistry']"
https://hh.ru/resume/960d6a1f000813fde40039ed1f686455767564?query=data+scientist&hhtmFrom=resumes_catalog&source=search,Data Scientist,Мужчина,0,0,0,"['Data Mining', 'Python', 'MS SQL', 'PostgreSQL', 'Machine learning', 'Data Analysis', 'Математическая статистика', 'Математический анализ', 'MS Excel', 'MS Project', 'Git', 'Анализ данных', 'Bash', 'Английский язык', 'C#', 'Linux', 'Seaborn', 'Scikit-learn', 'LightGBM', 'OpenCV', 'Atlassian Jira', 'numpy', 'pandas', 'PyTorch', 'Базы данных', 'Docker', 'Hadoop', 'Tensor Flow']",0,0,Опыт работы 2 года 4 месяца,0,0
https://hh.ru/resume/755150bd0007c6614e0039ed1f394833477731?query=data+scientist&hhtmFrom=resumes_catalog&source=search,Data Scientist,Мужчина,31 год,"Банки, инвестиции, лизинг","['Аналитик', 'Инвестиционная компания', 'Проектное финансирование']","['Python', 'Анализ данных', 'keras', 'Pytorch', 'Tensorflow', 'QlikView', 'SQL', 'PostgreSQL', 'Docker', 'MS Excel', 'Математическая статистика', 'Статистический анализ', 'sklearn', 'opencv', 'Linux', 'MS PowerPoint', 'pandas', 'feature', 'feature engineering', 'computer vision', 'NLP', 'Сбор и анализ информации']","['Русский — Родной', 'Английский — C1 — Продвинутый']",0,Опыт работы 6 лет 11 месяцев,Высшее образование (Магистр),"['НетологияData Science', 'Национальный исследовательский университет ""Высшая школа экономики"", МоскваЭкономический факультет, Финансовые рынки и финансовые институты', 'University of West Bohemia, ЧехияЭкономический, Студент по обмену', 'Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, ЕкатеринбургВысшая школа экономики и менеджмента, Экономика (Инвестиции)']"
https://hh.ru/resume/471a187a0008b8ee770039ed1f53745379465a?query=data+scientist&hhtmFrom=resumes_catalog&source=search,Data Scientist,Мужчина,0,0,0,"['Python', 'SQL', 'Data Analysis', 'Математическая статистика', 'Tableau', 'A/B тесты', 'XGBoost', 'Машинное обучение', 'LightGBM', 'CatBoost', 'Исследовательский анализ данных', 'Seaborn', 'Matplotlib', 'Sklearn', 'Numpy', 'Предобработка данных']",0,0,Опыт работы 1 год 3 месяца,0,0
https://hh.ru/resume/a0a4f6dd0007de00710039ed1f67704e38464f?query=data+scientist&hhtmFrom=resumes_catalog&source=search,Data Scientist/Machine Learning Engineer,Мужчина,27 лет,"Информационные технологии, интернет, телеком","['Программирование, Разработка', 'Инженер', 'Аналитик']","['Linux', 'Git', 'Python', 'SQL', 'Numpy', 'Pandas', 'GeoPandas', 'PyTorch', 'Scikit-Learn', 'TensorFlow', 'BeautifulSoup', 'Математическая статистика', 'Математический анализ', 'Математическое моделирование', 'ReinforcementLearning', 'NLP', 'ComputerVision', 'Machine Learning', 'MATLAB', 'Java', 'NLTK', 'Selenium IDE']","['Русский — Родной', 'Английский — C2 — В совершенстве', 'Казахский — C1 — Продвинутый', 'Французский — A2 — Элементарный']",120 000 руб.,Опыт работы 1 год 10 месяцев,Высшее образование,"['UdacityMachine Learning Engineer, Machine Learning Engineer', 'Erasmus University RotterdamEconometrics and Operations Research, Quantitative Marketing']"
